402.53,129.72,417.78,129.38
383.81,70.102,384,94.401
397.16,58.504,386.71,82.761
410.24,71.177,394.66,51.14
359.69,151.84,374.87,107.27
420.68,128.34,383.11,111.93
402.89,131.24,389.09,117.25
409.55,71.845,0,0
399.99,63.407,390.11,56.567
398.63,60.047,390.11,56.567
398.13,60.979,390.11,56.567
384,71.469,0,0
384.86,69.784,390.11,56.567
381.99,70.855,0,0
365.46,78.358,0,0
365.46,78.358,0,0
356.14,85.363,0,0
356.37,85.832,0,0
347.48,91.777,355.63,82.731
346.92,124.04,354.94,150.42
333.15,100.45,0,0
359.22,150.35,357.4,150.59
332.62,99.32,0,0
363.31,153.8,380.97,138.43
427.79,103.77,425.73,118.28
336.95,112.3,0,0
428.26,111.61,425.73,118.28
373.67,146.06,381.59,125.87
418.09,121.71,420.54,119.94
388.1,138.74,384.11,126.09
363.81,153.06,389.7,135.67
403.34,130.19,389.08,127.26
417.51,122.41,402.67,126.4
376.17,145.96,389.7,135.67
381.1,142.03,385.02,121.03
429.86,117.34,409.11,129.81
366.45,148.72,383.72,121.3
424.67,104.8,392.7,110.53
355.54,141.53,370.5,123.64
335.46,112.89,357.91,105.57
336.86,96.14,367.2,82.304
382.89,72.29,0,0
355.94,83.984,373.02,101.72
402.21,60.91,390.11,56.567
398.74,60.245,390.11,56.567
402.17,62.042,390.11,56.567
335.97,98.258,378.01,114.69
413.99,87.114,413.82,98.058
368.1,80.816,373.54,102.62
382.56,69.212,381.54,86.103
424.04,99.113,413.82,98.058
398.6,58.754,381.54,86.103
415.52,86.124,405.4,81.188
413.93,87.298,413.82,98.058
